movie_title,genre
Aqua Teen Hunger Force Colon Movie Film for Theaters,Animation
Aqua Teen Hunger Force Colon Movie Film for Theaters,Comedy
Aqua Teen Hunger Force Colon Movie Film for Theaters,Fantasy
Aqua Teen Hunger Force Colon Movie Film for Theaters,Sci-Fi
Aquamarine,Comedy
Aquamarine,Family
Aquamarine,Fantasy
Aquamarine,Romance
Arachnophobia,Comedy
Arachnophobia,Fantasy
Arachnophobia,Horror
Arachnophobia,Thriller
Ararat,Drama
Ararat,War
Arbitrage,Drama
Arbitrage,Thriller
Archaeology of a Woman,Drama
Are We There Yet?,Adventure
Are We There Yet?,Comedy
Are We There Yet?,Family
Are We There Yet?,Romance
Area 51,Horror
Area 51,Sci-Fi
Area 51,Thriller
Argo,Biography
Argo,Drama
Argo,History
Argo,Thriller
Arlington Road,Crime
Arlington Road,Drama
Arlington Road,Thriller
Armageddon,Action
Armageddon,Adventure
Armageddon,Sci-Fi
Armageddon,Thriller
Armored,Action
Armored,Crime
Armored,Thriller
Army of Darkness,Comedy
Army of Darkness,Fantasy
Army of Darkness,Horror
Arn: The Knight Templar,Action
Arn: The Knight Templar,Adventure
Arn: The Knight Templar,Drama
Arn: The Knight Templar,Romance
Arn: The Knight Templar,War
Arnolds Park,Mystery
Arnolds Park,Thriller
Around the World in 80 Days,Action
Around the World in 80 Days,Adventure
Around the World in 80 Days,Comedy
Aroused,Documentary
Arthur,Animation
Arthur,Comedy
Arthur,Family
Arthur Christmas,Adventure
Arthur Christmas,Animation
Arthur Christmas,Comedy
Arthur Christmas,Family
Arthur Christmas,Fantasy
Arthur and the Invisibles,Adventure
Arthur and the Invisibles,Animation
Arthur and the Invisibles,Family
Arthur and the Invisibles,Fantasy
"As Above, So Below",Horror
