movie_title,content_rating
Dragonfly,PG-13
Dragonslayer,PG
Dream House,PG-13
Dream with the Fishes,R
Dreamcatcher,R
Dreamer: Inspired by a True Story,PG
Dreamgirls,PG-13
Dreaming of Joseph Lees,R
Dredd,R
Dressed to Kill,X
Drillbit Taylor,PG-13
Drinking Buddies,R
Drive,R
Drive Angry,R
Drive Hard,Not Rated
Drive Me Crazy,PG-13
Driven,PG-13
Driving Lessons,PG-13
Driving Miss Daisy,PG
Drop Dead Gorgeous,PG-13
Drowning Mona,PG-13
Drumline,PG-13
"Dude, Where's My Car?",PG-13
"Dude, Where's My Dog?!",PG
Dudley Do-Right,PG
Due Date,R
Duel in the Sun,Unrated
Duets,R
Dum Maaro Dum,R
Duma,PG
Dumb & Dumber,PG-13
Dumb and Dumber To,PG-13
Dumb and Dumberer: When Harry Met Lloyd,PG-13
Dune,PG-13
Dungeons & Dragons: Wrath of the Dragon God,Not Rated
Duplex,PG-13
Duplicity,PG-13
Dwegons and Leprechauns,PG
Dying of the Light,R
Dylan Dog: Dead of Night,PG-13
DysFunktional Family,R
Dysfunctional Friends,Not Rated
Déjà Vu,PG-13
E.T. the Extra-Terrestrial,PG
Eagle Eye,PG-13
Earth,Unrated
Earth to Echo,PG
East Is East,R
Eastern Promises,R
Easy A,PG-13
Easy Money,R
Easy Virtue,PG-13
Eat Pray Love,PG-13
Ed Wood,R
Ed and His Dead Mother,PG-13
Eddie the Eagle,PG-13
Eddie: The Sleepwalking Cannibal,Not Rated
Eden,R
Eden Lake,R
Edge of Darkness,R
Edge of Tomorrow,PG-13
Edmond,R
Edtv,PG-13
Edward Scissorhands,PG-13
Eight Below,PG
Eight Legged Freaks,PG-13
El Mariachi,R
El crimen del padre Amaro,R
Election,R
Elektra,PG-13
Elf,PG
Elite Squad,R
Elizabeth,R
Elizabeth: The Golden Age,PG-13
Elizabethtown,PG-13
Ella Enchanted,PG
Elling,R
Elmer Gantry,Approved
Elsa & Fred,PG-13
Elysium,R
Empire,TV-14
Employee of the Month,PG-13
Enchanted,PG
End of Days,R
End of Watch,R
End of the Spear,PG-13
Ender's Game,PG-13
Endless Love,PG-13
Enemy at the Gates,R
Enemy of the State,R
Enough,PG-13
Enough Said,PG-13
Enter Nowhere,R
Enter the Void,Not Rated
Entourage,TV-MA
Entrapment,PG-13
Envy,PG-13
Epic,PG
Epic Movie,PG-13
Equilibrium,R
Eragon,PG
Eraser,R
Eraserhead,Unrated
Erin Brockovich,R
Ernest & Celestine,PG
Escape Plan,R
Escape from Alcatraz,PG
Escape from L.A.,R
Escape from New York,R
Escape from Planet Earth,PG
Escape from Tomorrow,Not Rated
Escape from the Planet of the Apes,G
Escobar: Paradise Lost,R
Eternal Sunshine of the Spotless Mind,R
Eulogy,R
Eureka,TV-14
EuroTrip,R
Evan Almighty,PG
Eve's Bayou,R
Event Horizon,R
Ever After: A Cinderella Story,PG-13
Everest,PG-13
Everybody's Fine,PG-13
Everyone Says I Love You,R
Everything Must Go,R
Everything Put Together,R
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,R
Evil Dead,R
Evil Dead II,X
Evita,PG
Ex Machina,R
Exam,Not Rated
Excessive Force,R
Executive Decision,R
Exeter,R
Exiled,R
Exit Wounds,R
Exodus: Gods and Kings,PG-13
Exorcist II: The Heretic,R
Exorcist: The Beginning,R
Exotica,R
Extract,R
Extraordinary Measures,PG
Extreme Measures,R
Extreme Movie,R
Extreme Ops,PG-13
Extremely Loud & Incredibly Close,PG-13
Eye See You,R
Eye for an Eye,R
Eye of the Beholder,R
Eye of the Dolphin,PG-13
Eyes Wide Shut,R
F.I.S.T.,PG
Fabled,R
Face/Off,R
Facing the Giants,PG
Factory Girl,R
Fahrenheit 9/11,R
Failure to Launch,PG-13
Fair Game,PG-13
Faith Like Potatoes,PG
Faithful,R
Falcon Rising,R
Fame,PG
Family Plot,PG
Fantasia,G
Fantasia 2000,G
Fantastic 4: Rise of the Silver Surfer,PG
Fantastic Four,PG-13
Fantastic Mr. Fox,PG
Far from Heaven,PG-13
Farce of the Penguins,R
Fargo,TV-MA
Fascination,R
